route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__876___,1_8__876___,1_8__876___-8__876____1_21:00:00_2_-__25_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____1_21:10:00_1_-__25_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____1_22:15:00_1_-__26_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____1_22:15:00_2_-__26_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____1_23:15:00_1_-__27_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____1_90:00:00_2_m.__8_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_m._IT_2,0
8__876___,1_8__876___,1_8__876___-8__876____2_08:00:00_2_-__1_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____2_09:20:00_1_-__1_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____2_11:00:00_2_-__2_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____2_12:30:00_1_-__2_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____2_17:00:00_2_-__3_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
