stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_06659,06659,CTRA.M607-PUENTE SUR,Ctra de Colmenar Viejo 20300,40.5857810974121,-3.70745253562927,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06666,06666,CTRA.M607-UNIV.AUTÓNOMA,Ctra   M-607 Colmenar Viejo 14900,40.5396766662598,-3.69939804077148,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06673,06673,CTRA.COLMENAR VIEJO-SANTA ANA,Ctra   M-607 Colmenar Viejo 9700,40.499137878418,-3.69927191734314,A,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08396,08396,CTRA.M607-PUENTE SUR,Ctra de Colmenar Viejo 20300,40.5855979919434,-3.70680069923401,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10548,10548,PºCASTELLANA-HOSPITAL LA PAZ,Paseo de la Castellana 300,40.4800758361816,-3.68576598167419,A,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12875,12875,CTRA.M607-CEMENTERIO LA PAZ,Ctra   M-607 Colmenar Viejo 19300,40.5774765014648,-3.70695161819458,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15955,15955,CTRA.M607-URB.LAS PRADERAS,Ctra de Navacerrada 48800,40.7026557922363,-3.94367909431458,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_16439,16439,CTRA.M607-URB.LAS PRADERAS,Ctra de Navacerrada 31,40.7024917602539,-3.94400835037231,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_18074,18074,INTERCAMBIADOR DE PLAZA CASTILLA,Paseo de la Castellana 195 A,40.4675521850586,-3.68892955780029,A,http://www.crtm.es,0,est_90_21,,0
par_8_20682,20682,CTRA.M607-EST.TRES CANTOS,Ctra de Colmenar Viejo 21900,40.5974655151367,-3.71763348579407,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_3252,3252,Pº CASTELLANA Nº 292-HOSPITAL LA PAZ,Paseo de la Castellana 292,40.4787788391113,-3.68568205833435,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_3670,3670,CTRA.COLMENAR-HOSPITAL RAMON Y CAJAL,Ctra   M-607 Colmenar Viejo 8400,40.4878807067871,-3.69700765609741,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_955,955,CTRA.COLMENAR-HOSPITAL RAMON Y CAJAL,Ctra   M-607 Colmenar Viejo 8300,40.4870910644531,-3.69695210456848,A,http://www.crtm.es,0,,Europe/Madrid,0
est_90_21,21,Intercambiador de Plaza de Castilla,Paseo de la Castellana 189,40.4669,-3.6892,A,http://www.crtm.es,1,,Europe/Madrid,0
par_8_740,740,PRINCESA-PZA.MONCLOA,Calle de la Princesa 89,40.4344482421875,-3.71925759315491,A,http://www.crtm.es,0,est_90_14,,0
par_8_06354,06354,GABRIEL GªMÁRQUEZ-ANTONIO FDEZ.MARÍA,Calle   Gabriel García Márquez 6 B,40.6236267089844,-4.01140022277832,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06361,06361,PLAYA DE LOURO-CHOPOS,Calle  Playa de Louro 4,40.6186599731445,-4.00872421264648,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06362,06362,PLAYA DE LOURO-ISLAS CIES,Calle   Playa de Louro 4,40.6199226379395,-4.00732469558716,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06363,06363,ISLA DE LA TOJA-PLAYA DE LOURO,Calle  Isla de la Toja 1,40.6215057373047,-4.006591796875,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06364,06364,SUERTES-SIETE PICOS,Calle las Suertes 1,40.6198806762695,-4.00481748580933,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06365,06365,REAL-POLICIA LOCAL,Calle  Real 30,40.6288642883301,-4.00773096084595,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06366,06366,REAL-PZA.ESPAÑA,Calle  Real 46,40.6306953430176,-4.00564193725586,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06367,06367,REAL-ZOCO,Calle  Real 82,40.6324195861816,-4.0041069984436,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06369,06369,MATALPINO-INSTITUTO,Calle  Matalpino 3,40.6377029418945,-4.00251865386963,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06376,06376,CONCEJO-URB.CASABLANCA,Calle   Concejo 12,40.6473503112793,-3.99200654029846,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06379,06379,CTRA.M608-CEMENTERIO,Ctra   Moralzarzal 33,40.646427154541,-3.994784116745,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06382,06382,MATALPINO-INSTITUTO,Calle  Matalpino 3,40.637809753418,-4.00249671936035,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06384,06384,REAL-ZOCO,Calle  Real 63,40.6324462890625,-4.00424909591675,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06386,06386,ISLA DE LOBEIRA-PLAYA LA LANZADA,Calle  Isla de Lobeira 15,40.6199226379395,-4.01571846008301,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06388,06388,MAR DE FORA-PLAYA DE LOBEIRA,Calle  Mar de Fora 11,40.6197052001953,-4.01387071609497,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06393,06393,CAMINO DE LA GUIJA-URB.ALHAMBRA,Calle   Doctor José María Poveda 17,40.6457633972168,-3.98701572418213,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09014,09014,ISLA DE SÁLVORA-INSTITUTO,Calle  Isla de Sálvora 151,40.6204414367676,-4.01822090148926,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09015,09015,AMAPOLAS-URB.LOS VALLES,Calle  Amapolas 1,40.6395721435547,-4.0083532333374,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09955,09955,GABRIEL GªMÁRQUEZ-CENTRO PROFESORADO,Calle  Ramón Fernández Soler 55,40.6237449645996,-4.01529169082642,B3,http://www.crtm.es,0,,Europe/Madrid,2
